session_ix,n_agents,max_speed_avg,max_speed_dev,desired_distance_avg,desired_distance_dev,acceleration_avg,acceleration_dev,n_lanes,t_start,t_end,x_start,x_end,measure_point_x,accepted_dist_delta,window_size,average_velocity,rolling_average_density,rolling_average_flow
0,40,0.5,0.1,30,0,0.02,0.005,2,398,3471,200,800,500,10,100,0.9220980089446996,0.0312384823848238,1.9333333333333331
1,40,0.5,0.1,30,0,0.02,0.005,2,4799,7805,200,800,500,10,100,0.9263539127384548,0.0307641196013289,1.9333333333333331
2,40,0.5,0.1,30,0,0.02,0.005,2,9160,12111,200,800,500,10,100,0.9306582479862991,0.0308375634517765,1.9655172413793105
3,40,0.5,0.1,30,0,0.02,0.005,2,13380,16352,200,800,500,10,100,0.9349535007897064,0.0308319327731091,1.896551724137931
4,40,0.5,0.1,30,0,0.02,0.005,2,17629,20726,200,800,500,10,100,0.9392210392107752,0.0289919354838709,1.9333333333333331
5,40,0.5,0.1,30,0,0.02,0.005,2,22071,25099,200,800,500,10,100,0.9437544540480138,0.0304675467546754,2.0
6,40,0.5,0.1,30,0,0.02,0.005,2,26444,29552,200,800,500,10,100,0.9487509031376388,0.0307797427652732,1.870967741935484
7,40,0.5,0.1,30,0,0.02,0.005,2,30831,33914,200,800,500,10,100,0.9535542597858394,0.0301377633711506,1.9666666666666663
8,40,0.5,0.1,30,0,0.02,0.005,2,35315,38377,200,800,500,10,100,0.9585575522137896,0.0310358890701467,2.0
9,40,0.5,0.1,30,0,0.02,0.005,2,39609,42633,200,800,500,10,100,0.9634651152542454,0.0301790633608814,2.0
10,40,0.6,0.12,30,0,0.02,0.005,2,43896,46550,200,800,500,10,100,0.9667439905575932,0.0287037037037036,2.0384615384615383
11,40,0.6,0.12,30,0,0.02,0.005,2,47646,50165,200,800,500,10,100,0.9701074929191404,0.0302182539682539,2.24
12,40,0.6,0.12,30,0,0.02,0.005,2,51270,53820,200,800,500,10,100,0.9735653131737164,0.0297912589693411,2.12
13,40,0.6,0.12,30,0,0.02,0.005,2,54914,57542,200,800,500,10,100,0.97710697774613,0.0294233206590621,2.0384615384615383
14,40,0.6,0.12,30,0,0.02,0.005,2,58696,61423,200,800,500,10,100,0.980905087236372,0.0284981684981684,2.037037037037037
15,40,0.6,0.12,30,0,0.02,0.005,2,62550,65134,200,800,500,10,100,0.9845085005231607,0.0293778207607994,2.24
16,40,0.6,0.12,30,0,0.02,0.005,2,66190,68807,200,800,500,10,100,0.9882494869570658,0.0299204834605598,2.1538461538461537
17,40,0.6,0.12,30,0,0.02,0.005,2,70018,72597,200,800,500,10,100,0.9921635314230228,0.0303908268733849,2.12
